Concept Name,Column,Value,Confidence,Citation
HTS Compact Tokamak,Confinement Family,MFE,high,"CFS technology page (cfs.energy/technology); Sorbom et al. 2015"
HTS Compact Tokamak,Confinement Concept,Compact tokamak,high,"Sorbom et al. 2015 — ARC: A compact, high-field, fusion nuclear science facility"
HTS Compact Tokamak,Fuel,D-T,high,"SPARC Wikipedia; CFS technology page; Lin et al. 2020"
HTS Compact Tokamak,Primary Heating,RF (ICRH),high,"Lin & Wright et al., J. Plasma Phys. 86, 2020 — ICRF at 120 MHz, 25 MW coupled"
HTS Compact Tokamak,Energy Capture,Thermal (steam),medium,"Sorbom et al. 2015; Colliva et al. 2024 (MDPI) — supercritical steam Rankine most promising"
HTS Compact Tokamak,Plasma State,Burning,high,"SPARC targets Q~11; ARC targets Q~13.6"
HTS Compact Tokamak,Magnet Type,HTS (wound),high,"CFS 20 T magnet demonstration (Sep 2021); Sorbom et al. 2015"
HTS Compact Tokamak,Tritium Breeding,FLiBe blanket,high,"Sorbom et al. 2015; Grokipedia ARC page"
HTS Compact Tokamak,Neutron Management,Integrated blanket/shield,high,"Sorbom et al. 2015 — FLiBe blanket serves as breeder and shield"
HTS Compact Tokamak,Operation Mode,Quasi-steady,high,"Multiple CFS 2025-2026 sources — ARC pulses for tens of minutes"
HTS Compact Tokamak,Repetition Rate,N/A,high,"Quasi-steady operation — not pulsed in IFE/MIF sense"
HTS Compact Tokamak,Driver Technology,"HTS magnets (REBCO, 20 T)",high,"CFS 20 T magnet demonstration (2021); Sorbom et al. 2015"
Spherical Tokamak - HTS,Confinement Family,MFE,high,"Baseline CSV; confirmed by research"
Spherical Tokamak - HTS,Confinement Concept,Spherical tokamak,high,"Baseline CSV; ST-E1 design A=2.3"
Spherical Tokamak - HTS,Fuel,D-T,high,"Baseline CSV; confirmed by research"
Spherical Tokamak - HTS,Primary Heating,RF (ECRH),high,"EPJ Web of Conferences 2026 — Alieva et al.; EC-only flat-top heating"
Spherical Tokamak - HTS,Energy Capture,Thermal (unspecified),medium,"Inferred from D-T fuel and 450-750 MWe targets; specific cycle not disclosed"
Spherical Tokamak - HTS,Plasma State,Burning,medium,"Inferred from 450-750 MWe net power targets; Q not publicly stated"
Spherical Tokamak - HTS,Magnet Type,HTS (wound),high,"Demo4 breakthrough Nov 2025 — 14 TF + 2 PF HTS coil set at 11.8 T"
