LCOE: 70.0 $/MWh   (1 GWe NOAK projection)
Native LCOE = 70.0 $/MWh   (P_native, n_mod=1, overrides on)
Generic LCOE = 70.0 $/MWh   (P_native, n_mod=1, overrides off)
Overnight: generic 5477 $/kW   native 5477 $/kW   1 GWe 5477 $/kW

CAS               generic           native            1 GWe
--------------------------------------------------------
CAS10                18.5             18.5             18.5
CAS21               595.1            595.1            595.1
CAS22              2438.4           2438.4           2438.4
CAS23               212.7            212.7            212.7
CAS24                90.6             90.6             90.6
CAS25                55.1             55.1             55.1
CAS26                91.9             91.9             91.9
CAS27                15.0             15.0             15.0
CAS28                 5.0              5.0              5.0
CAS29                 0.0              0.0              0.0
CAS30               700.8            700.8            700.8
CAS40                39.0             39.0             39.0
CAS50               331.8            331.8            331.8
CAS60               883.0            883.0            883.0
CAS70               110.0            110.0            110.0
CAS80                 0.7              0.7              0.7
CAS90               410.8            410.8            410.8
--------------------------------------------------------
TOTAL              5476.9           5476.9           5476.9

--- CAS22 sub-account detail (overrides marked) ---
code            generic       native        1 GWe  flag
C220000          2438.4       2438.4       2438.4
C220101           153.6        153.6        153.6
C220102           104.6        104.6        104.6
C220103          1105.8       1105.8       1105.8
C220104            25.0         25.0         25.0
C220105             7.9          7.9          7.9
C220106            28.2         28.2         28.2
C220106_pump          0.7          0.7          0.7
C220106_vessel         27.5         27.5         27.5
C220107            84.2         84.2         84.2
C220108            98.4         98.4         98.4
C220109             0.0          0.0          0.0
C220110           155.6        155.6        155.6
C220111           246.9        246.9        246.9
C220112             0.0          0.0          0.0
C220200           201.1        201.1        201.1
C220300            18.8         18.8         18.8
C220400             5.3          5.3          5.3
C220500           120.0        120.0        120.0
C220600            11.5         11.5         11.5
C220700            71.6         71.6         71.6
